station_id,rolling_mae_c,rolling_bias_c,rolling_mae_max_c,rolling_bias_max_c,rolling_mae_min_c,rolling_bias_min_c,samples,holdout_start,holdout_end
CYYZ,1.0268,0.0757,0.9442,0.2275,1.1094,-0.0761,366,2025-11-03,2026-05-04
DNMM,0.0083,-0.0075,0.0047,-0.0032,0.0119,-0.0119,366,2025-11-03,2026-05-04
EDDM,0.6977,0.0075,0.6553,0.1942,0.7402,-0.1792,366,2025-11-03,2026-05-04
EFHK,0.7335,-0.1625,0.583,0.0366,0.8839,-0.3615,366,2025-11-03,2026-05-04
EGLC,0.4909,-0.1588,0.4628,-0.1777,0.5191,-0.14,366,2025-11-03,2026-05-04
EHAM,0.7722,0.33,0.8025,0.5278,0.7419,0.1321,366,2025-11-03,2026-05-04
EPWA,0.8725,0.4231,0.7792,0.2852,0.9658,0.561,366,2025-11-03,2026-05-04
FACT,0.0114,-0.0008,0.011,0.0081,0.0119,-0.0096,366,2025-11-03,2026-05-04
HKO,0.0109,-0.0045,0.0065,0.0059,0.0154,-0.015,366,2025-11-03,2026-05-04
KATL,0.6075,-0.2194,0.6636,-0.1978,0.5514,-0.2409,366,2025-11-03,2026-05-04
KAUS,0.6199,0.1159,0.593,0.1737,0.6467,0.0581,366,2025-11-03,2026-05-04
KBKF,1.0415,-0.2596,1.0424,-0.3749,1.0407,-0.1444,366,2025-11-03,2026-05-04
KDAL,0.9625,-0.2552,1.2105,-0.4391,0.7146,-0.0714,366,2025-11-03,2026-05-04
KHOU,0.6453,0.0773,0.6664,0.204,0.6241,-0.0495,366,2025-11-03,2026-05-04
KLAX,0.7567,-0.0294,0.8615,0.0577,0.6519,-0.1166,366,2025-11-03,2026-05-04
KLGA,0.9657,-0.0982,0.8307,0.1675,1.1006,-0.3639,366,2025-11-03,2026-05-04
KMIA,0.6498,-0.1215,0.5206,-0.032,0.779,-0.211,366,2025-11-03,2026-05-04
KORD,0.7601,0.027,0.7771,0.3214,0.743,-0.2675,366,2025-11-03,2026-05-04
KSEA,0.645,-0.2047,0.6436,-0.1186,0.6463,-0.2909,366,2025-11-03,2026-05-04
KSFO,0.6806,-0.2531,0.6989,-0.2468,0.6622,-0.2595,366,2025-11-03,2026-05-04
LEMD,0.5988,-0.0915,0.5316,0.0179,0.666,-0.2009,366,2025-11-03,2026-05-04
LFPB,0.5506,0.0318,0.5373,0.2579,0.5639,-0.1943,366,2025-11-03,2026-05-04
LIMC,0.6733,-0.2716,0.5864,-0.22,0.7602,-0.3233,366,2025-11-03,2026-05-04
LLBG,0.6468,0.0216,0.5821,0.1606,0.7115,-0.1174,366,2025-11-03,2026-05-04
LTAC,0.7586,-0.1801,0.684,-0.2005,0.8333,-0.1596,366,2025-11-03,2026-05-04
LTFM,0.5655,-0.1179,0.5711,-0.1263,0.5598,-0.1095,366,2025-11-03,2026-05-04
MMMX,0.0602,-0.0446,0.079,-0.0766,0.0414,-0.0126,366,2025-11-03,2026-05-04
MPMG,0.0216,-0.02,0.0196,-0.0166,0.0235,-0.0233,366,2025-11-03,2026-05-04
NZWN,0.0306,-0.0017,0.0277,0.0261,0.0334,-0.0296,366,2025-11-03,2026-05-04
OEJN,0.0093,-0.0016,0.0095,0.0055,0.0092,-0.0086,366,2025-11-03,2026-05-04
OPKC,0.0099,-0.0027,0.0073,0.007,0.0126,-0.0123,366,2025-11-03,2026-05-04
RCSS,0.0125,-0.003,0.0089,0.0081,0.0161,-0.0141,366,2025-11-03,2026-05-04
RJTT,0.8233,-0.3966,0.8102,-0.3804,0.8365,-0.4128,366,2025-11-03,2026-05-04
RKPK,0.8713,-0.1659,0.7035,-0.3414,1.0391,0.0096,366,2025-11-03,2026-05-04
RKSI,1.4038,-0.1283,1.6427,-0.593,1.1648,0.3364,366,2025-11-03,2026-05-04
RPLL,0.0089,-0.0033,0.0057,0.0053,0.0121,-0.0119,366,2025-11-03,2026-05-04
SAEZ,0.0075,-0.0026,0.0074,-0.0029,0.0076,-0.0023,366,2025-11-03,2026-05-04
SBGR,0.0304,-0.0097,0.0328,0.0066,0.028,-0.026,366,2025-11-03,2026-05-04
UUWW,0.735,-0.2028,0.6125,-0.1098,0.8575,-0.2958,366,2025-11-03,2026-05-04
VILK,0.0186,-0.0106,0.0156,-0.0142,0.0216,-0.007,366,2025-11-03,2026-05-04
WIHH,0.0127,0.0059,0.0186,0.0185,0.0069,-0.0066,366,2025-11-03,2026-05-04
WMKK,0.0108,-0.0072,0.0041,0.0032,0.0176,-0.0176,366,2025-11-03,2026-05-04
WSSS,0.0125,0.0111,0.0208,0.0208,0.0042,0.0015,366,2025-11-03,2026-05-04
ZBAA,0.0571,-0.0273,0.0521,-0.0182,0.062,-0.0365,366,2025-11-03,2026-05-04
ZGGG,0.0118,-0.0059,0.006,0.0044,0.0175,-0.0163,366,2025-11-03,2026-05-04
ZGSZ,0.0106,-0.0049,0.006,0.005,0.0151,-0.0149,366,2025-11-03,2026-05-04
ZHHH,0.0248,-0.0128,0.0255,-0.0067,0.0242,-0.0188,366,2025-11-03,2026-05-04
ZSPD,0.0293,-0.0086,0.0305,0.0095,0.0282,-0.0267,366,2025-11-03,2026-05-04
ZSQD,0.0472,-0.0021,0.0418,-0.0194,0.0525,0.0151,366,2025-11-03,2026-05-04
ZUCK,0.0414,0.0323,0.045,0.0397,0.0378,0.0249,366,2025-11-03,2026-05-04
ZUUU,0.0428,-0.0035,0.0412,0.0137,0.0444,-0.0207,366,2025-11-03,2026-05-04
